data,genere,regista,anno,durata,eta,costo
"2027-12-11 12:30","Shichinin no samurai",Action,"Akira Kurosawa",1954,207,0,8.5
"2027-12-11 10:00","Eastern Promises",Action,"David Cronenberg",2007,100,16,6.5
"2027-12-10 13:00","To Have and Have Not",Adventure,"Howard Hawks",1944,100,6,6.5
"2027-12-10 10:30","Cape Fear",Drama,"J. Lee Thompson",1962,106,12,7.0
"2027-12-9 10:00","Star Trek II: The Wrath of Khan",Action,"Nicholas Meyer",1982,113,0,8.0
"2027-12-8 10:00","Blue Velvet",Drama,"David Lynch",1986,120,12,6.5
"2027-12-7 15:00","Lat sau san taam",Action,"John Woo",1992,128,16,7.0
"2027-12-7 12:30","Eastern Promises",Action,"David Cronenberg",2007,100,16,6.5
"2027-12-7 10:00","Withnail & I",Comedy,"Bruce Robinson",1987,107,16,6.5
"2027-12-6 15:00","American Psycho",Comedy,"Mary Harron",2000,101,12,8.0
"2027-12-6 12:30","The Maltese Falcon",Film-Noir,"John Huston",1941,100,12,8.5
"2027-12-6 10:00","Eastern Promises",Action,"David Cronenberg",2007,100,16,7.0
"2027-12-5 20:00","American Psycho",Comedy,"Mary Harron",2000,101,12,8.5
"2027-12-5 17:30","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,8.5
"2027-12-5 13:00","Giant",Drama,"George Stevens",1956,201,0,8.5
"2027-12-5 10:00","Mississippi Burning",Crime,"Alan Parker",1988,128,12,8.0
"2027-12-4 15:30","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,6.5
"2027-12-4 12:30","Lat sau san taam",Action,"John Woo",1992,128,16,8.0
"2027-12-4 10:00","Cape Fear",Drama,"J. Lee Thompson",1962,106,12,8.0
"2027-12-3 16:00","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,8.5
"2027-12-3 13:30","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,7.5
"2027-12-3 10:30","Cool Hand Luke",Crime,"Stuart Rosenberg",1967,127,12,8.5
"2027-12-2 10:30","Giant",Drama,"George Stevens",1956,201,0,7.5
"2027-12-1 14:00","Blue Velvet",Drama,"David Lynch",1986,120,12,8.0
"2027-12-1 10:00","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,8.0
"2027-11-30 13:30","Kurenai no buta",Animation,"Hayao Miyazaki",1992,94,0,6.5
"2027-11-30 10:30","Cool Hand Luke",Crime,"Stuart Rosenberg",1967,127,12,7.5
"2027-11-29 13:30","The Others",Horror,"Alejandro Amenábar",2001,101,12,7.0
"2027-11-29 10:00","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,7.5
"2027-11-28 16:00","Mississippi Burning",Crime,"Alan Parker",1988,128,12,8.0
"2027-11-28 13:00","The Blues Brothers",Action,"John Landis",1980,133,0,8.0
"2027-11-28 10:30","Festen",Drama,"Thomas Vinterberg",1998,105,16,8.0
"2027-11-27 20:00","Cool Hand Luke",Crime,"Stuart Rosenberg",1967,127,12,10.0
"2027-11-27 17:00","The Blues Brothers",Action,"John Landis",1980,133,0,7.5
"2027-11-27 13:30","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,6.5
"2027-11-27 10:30","The Blues Brothers",Action,"John Landis",1980,133,0,8.0
"2027-11-26 13:30","It Happened One Night",Comedy,"Frank Capra",1934,105,12,8.0
"2027-11-26 10:30","Sin City",Crime,"Frank Miller",2005,124,12,6.5
"2027-11-25 16:00","The Silence of the Lambs",Crime,"Jonathan Demme",1991,118,12,6.5
"2027-11-25 12:30","Tengoku to jigoku",Crime,"Akira Kurosawa",1963,143,12,8.0
"2027-11-25 10:00","It Happened One Night",Comedy,"Frank Capra",1934,105,12,7.0
"2027-11-24 16:00","The Ladykillers",Comedy,"Alexander Mackendrick",1955,91,12,6.5
"2027-11-24 13:30","Cape Fear",Drama,"J. Lee Thompson",1962,106,12,7.5
"2027-11-24 10:30","Aliens",Action,"James Cameron",1986,137,0,8.0
"2027-11-23 12:30","The Others",Horror,"Alejandro Amenábar",2001,101,12,6.5
"2027-11-23 10:00","Monsters, Inc.",Animation,"Pete Docter",2001,92,0,6.5
"2027-11-22 10:30","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,7.5
"2027-11-21 16:00","The Hurricane",Biography,"Norman Jewison",1999,146,16,8.0
"2027-11-21 13:00","Platoon",Drama,"Oliver Stone",1986,120,12,8.5
"2027-11-21 10:00","Cool Hand Luke",Crime,"Stuart Rosenberg",1967,127,12,7.0
"2027-11-20 20:30","Aliens",Action,"James Cameron",1986,137,0,9.0
"2027-11-20 18:00","Jules et Jim",Drama,"François Truffaut",1962,105,12,10.0
"2027-11-20 14:30","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,8.5
"2027-11-20 10:30","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,7.0
"2027-11-19 10:00","The Hurricane",Biography,"Norman Jewison",1999,146,16,8.5
"2027-11-18 10:00","Scent of a Woman",Drama,"Martin Brest",1992,156,12,7.0
"2027-11-17 10:30","Giant",Drama,"George Stevens",1956,201,0,7.5
"2027-11-16 16:00","The Hurricane",Biography,"Norman Jewison",1999,146,16,7.0
"2027-11-16 13:00","Butch Cassidy and the Sundance Kid",Biography,"George Roy Hill",1969,110,6,7.5
"2027-11-16 10:30","The Others",Horror,"Alejandro Amenábar",2001,101,12,8.0
"2027-11-15 17:00","Monsters, Inc.",Animation,"Pete Docter",2001,92,0,8.0
"2027-11-15 14:00","The Long Goodbye",Comedy,"Robert Altman",1973,112,12,7.0
"2027-11-15 10:30","Fight Club",Drama,"David Fincher",1999,139,12,8.0
"2027-11-14 15:30","Platoon",Drama,"Oliver Stone",1986,120,12,7.0
"2027-11-14 12:30","Tengoku to jigoku",Crime,"Akira Kurosawa",1963,143,12,7.5
"2027-11-14 10:00","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,6.5
"2027-11-13 18:30","Papurika",Animation,"Satoshi Kon",2006,90,0,9.5
"2027-11-13 16:00","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,7.5
"2027-11-13 13:00","Platoon",Drama,"Oliver Stone",1986,120,12,7.0
"2027-11-13 10:30","Platoon",Drama,"Oliver Stone",1986,120,12,7.5
"2027-11-12 13:30","Blow",Biography,"Ted Demme",2001,124,16,8.0
"2027-11-12 10:00","Scent of a Woman",Drama,"Martin Brest",1992,156,12,7.0
"2027-11-11 13:00","Papurika",Animation,"Satoshi Kon",2006,90,0,8.0
"2027-11-11 10:30","Papurika",Animation,"Satoshi Kon",2006,90,0,6.5
"2027-11-10 10:30","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,8.0
"2027-11-9 13:00","The Long Goodbye",Comedy,"Robert Altman",1973,112,12,7.0
"2027-11-9 10:00","Sin City",Crime,"Frank Miller",2005,124,12,7.0
"2027-11-8 13:00","Chinatown",Drama,"Roman Polanski",1974,130,12,7.0
"2027-11-8 10:30","Papurika",Animation,"Satoshi Kon",2006,90,0,8.5
"2027-11-7 15:00","Sherlock Jr.",Action,"Buster Keaton",1924,45,12,6.5
"2027-11-7 12:30","Annie Hall",Comedy,"Woody Allen",1977,93,12,8.0
"2027-11-7 10:00","Butch Cassidy and the Sundance Kid",Biography,"George Roy Hill",1969,110,6,7.5
"2027-11-6 19:30","Giant",Drama,"George Stevens",1956,201,0,9.0
"2027-11-6 16:00","Idi i smotri",Drama,"Elem Klimov",1985,142,12,8.0
"2027-11-6 13:00","Sin City",Crime,"Frank Miller",2005,124,12,6.5
"2027-11-6 10:00","Blow",Biography,"Ted Demme",2001,124,16,7.5
"2027-11-5 10:30","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,8.0
"2027-11-4 10:30","Aliens",Action,"James Cameron",1986,137,0,8.0
"2027-11-3 10:30","Scent of a Woman",Drama,"Martin Brest",1992,156,12,7.0
"2027-11-2 13:30","Papurika",Animation,"Satoshi Kon",2006,90,0,6.5
"2027-11-2 10:30","Enemy at the Gates",Drama,"Jean-Jacques Annaud",2001,131,12,7.0
"2027-11-1 13:00","The Ladykillers",Comedy,"Alexander Mackendrick",1955,91,12,8.0
"2027-11-1 10:30","4 luni, 3 saptamâni si 2 zile",Drama,"Cristian Mungiu",2007,113,12,8.5
"2027-10-31 17:00","Sherlock Jr.",Action,"Buster Keaton",1924,45,12,6.5
"2027-10-31 14:00","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,6.5
"2027-10-31 10:30","Scent of a Woman",Drama,"Martin Brest",1992,156,12,6.5
"2027-10-30 17:00","Monsters, Inc.",Animation,"Pete Docter",2001,92,0,8.0
"2027-10-30 14:00","Blow",Biography,"Ted Demme",2001,124,16,8.5
"2027-10-30 10:30","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,7.5
"2027-10-29 10:30","Annie Hall",Comedy,"Woody Allen",1977,93,12,7.5
"2027-10-28 15:00","Tengoku to jigoku",Crime,"Akira Kurosawa",1963,143,12,7.5
"2027-10-28 12:30","Ivanovo detstvo",Drama,"Andrei Tarkovsky",1962,95,12,7.5
"2027-10-28 10:00","The Ladykillers",Comedy,"Alexander Mackendrick",1955,91,12,8.0
"2027-10-27 10:30","Donnie Brasco",Biography,"Mike Newell",1997,127,12,6.5
"2027-10-26 10:00","Zelig",Comedy,"Woody Allen",1983,79,6,8.5
"2027-10-25 10:30","No Country for Old Men",Crime,"Ethan Coen",2007,122,16,6.5
"2027-10-24 19:30","Annie Hall",Comedy,"Woody Allen",1977,93,12,9.5
"2027-10-24 16:00","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,8.0
"2027-10-24 13:00","Butch Cassidy and the Sundance Kid",Biography,"George Roy Hill",1969,110,6,7.0
"2027-10-24 10:30","Butch Cassidy and the Sundance Kid",Biography,"George Roy Hill",1969,110,6,8.5
"2027-10-23 19:00","Adaptation.",Comedy,"Spike Jonze",2002,115,16,8.5
"2027-10-23 16:00","Blow",Biography,"Ted Demme",2001,124,16,7.0
"2027-10-23 13:00","No Country for Old Men",Crime,"Ethan Coen",2007,122,16,6.5
"2027-10-23 10:00","Platoon",Drama,"Oliver Stone",1986,120,12,7.5
"2027-10-22 10:00","Zelig",Comedy,"Woody Allen",1983,79,6,7.5
"2027-10-21 10:00","Adaptation.",Comedy,"Spike Jonze",2002,115,16,7.5
"2027-10-20 13:30","Chinatown",Drama,"Roman Polanski",1974,130,12,8.0
"2027-10-20 10:00","Aliens",Action,"James Cameron",1986,137,0,6.5
"2027-10-19 13:30","Monsters, Inc.",Animation,"Pete Docter",2001,92,0,7.0
"2027-10-19 10:30","Aliens",Action,"James Cameron",1986,137,0,8.5
"2027-10-18 10:30","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,8.5
"2027-10-17 16:00","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,8.0
"2027-10-17 13:00","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,6.5
"2027-10-17 10:30","Sunrise: A Song of Two Humans",Drama,"F.W. Murnau",1927,94,12,7.5
"2027-10-16 16:30","Platoon",Drama,"Oliver Stone",1986,120,12,7.0
"2027-10-16 13:30","Idi i smotri",Drama,"Elem Klimov",1985,142,12,6.5
"2027-10-16 10:30","Adaptation.",Comedy,"Spike Jonze",2002,115,16,6.5
"2027-10-15 13:00","Chinatown",Drama,"Roman Polanski",1974,130,12,8.0
"2027-10-15 10:00","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,6.5
"2027-10-14 10:30","Sherlock Jr.",Action,"Buster Keaton",1924,45,12,6.5
"2027-10-13 13:00","Sunrise: A Song of Two Humans",Drama,"F.W. Murnau",1927,94,12,7.5
"2027-10-13 10:00","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,6.5
"2027-10-12 13:30","Sunrise: A Song of Two Humans",Drama,"F.W. Murnau",1927,94,12,8.0
"2027-10-12 10:30","The Pianist",Biography,"Roman Polanski",2002,150,16,7.0
"2027-10-11 13:00","The Shop Around the Corner",Comedy,"Ernst Lubitsch",1940,99,12,7.5
"2027-10-11 10:00","The Lives of Others",Drama,"Florian Henckel von Donnersmarck",2006,137,12,7.5
"2027-10-10 17:30","Bound by Honor",Crime,"Taylor Hackford",1993,180,16,7.5
"2027-10-10 15:00","Falling Down",Action,"Joel Schumacher",1993,113,16,7.0
"2027-10-10 13:30","Sherlock Jr.",Action,"Buster Keaton",1924,45,12,8.5
"2027-10-10 10:30","Hauru no ugoku shiro",Animation,"Hayao Miyazaki",2004,119,0,8.0
"2027-10-9 16:00","Platoon",Drama,"Oliver Stone",1986,120,12,6.5
"2027-10-9 13:30","A Christmas Story",Comedy,"Bob Clark",1983,93,0,7.5
"2027-10-9 10:00","Amadeus",Biography,"Milos Forman",1984,160,16,8.0
"2027-10-8 10:00","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,6.5
"2027-10-7 10:30","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,6.5
"2027-10-6 14:00","As Good as It Gets",Comedy,"James L. Brooks",1997,139,12,7.0
"2027-10-6 10:30","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,7.0
"2027-10-5 16:30","Black Hawk Down",Drama,"Ridley Scott",2001,144,12,7.5
"2027-10-5 14:00","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,8.5
"2027-10-5 10:30","Black Hawk Down",Drama,"Ridley Scott",2001,144,12,8.0
"2027-10-4 10:30","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,6.5
"2027-10-3 17:00","4 luni, 3 saptamâni si 2 zile",Drama,"Cristian Mungiu",2007,113,12,7.0
"2027-10-3 14:00","Falling Down",Action,"Joel Schumacher",1993,113,16,7.0
"2027-10-3 10:30","As Good as It Gets",Comedy,"James L. Brooks",1997,139,12,8.0
"2027-10-2 19:30","Persona",Drama,"Ingmar Bergman",1966,85,12,9.0
"2027-10-2 16:30","The Lives of Others",Drama,"Florian Henckel von Donnersmarck",2006,137,12,8.5
"2027-10-2 13:30","Falling Down",Action,"Joel Schumacher",1993,113,16,8.5
"2027-10-2 10:30","As Good as It Gets",Comedy,"James L. Brooks",1997,139,12,8.0
"2027-10-1 10:30","Back to the Future Part II",Adventure,"Robert Zemeckis",1989,108,0,8.0
"2027-9-30 13:30","Falling Down",Action,"Joel Schumacher",1993,113,16,8.0
"2027-9-30 10:30","The Lives of Others",Drama,"Florian Henckel von Donnersmarck",2006,137,12,7.0
"2027-9-29 10:00","The Lives of Others",Drama,"Florian Henckel von Donnersmarck",2006,137,12,8.0
"2027-9-28 13:00","The King of Comedy",Comedy,"Martin Scorsese",1982,109,0,7.0
"2027-9-28 10:00","Le notti di Cabiria",Drama,"Federico Fellini",1957,110,12,7.0
"2027-9-27 10:00","Donnie Brasco",Biography,"Mike Newell",1997,127,12,7.0
"2027-9-26 19:00","The King of Comedy",Comedy,"Martin Scorsese",1982,109,0,9.5
"2027-9-26 15:30","Boogie Nights",Drama,"Paul Thomas Anderson",1997,155,16,7.0
"2027-9-26 12:30","Sleepers",Crime,"Barry Levinson",1996,147,12,6.5
"2027-9-26 10:00","Le notti di Cabiria",Drama,"Federico Fellini",1957,110,12,7.0
"2027-9-25 15:30","Enemy at the Gates",Drama,"Jean-Jacques Annaud",2001,131,12,7.5
"2027-9-25 12:30","Happiness",Comedy,"Todd Solondz",1998,134,12,8.5
"2027-9-25 10:00","Trois couleurs: Blanc",Comedy,"Krzysztof Kieslowski",1994,92,0,7.0
"2027-9-24 10:30","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,7.0
"2027-9-23 14:30","Bronenosets Potemkin",Drama,"Sergei M. Eisenstein",1925,75,12,7.5
"2027-9-23 12:00","Trois couleurs: Blanc",Comedy,"Krzysztof Kieslowski",1994,92,0,7.0
"2027-9-23 10:00","Bronenosets Potemkin",Drama,"Sergei M. Eisenstein",1925,75,12,7.5
"2027-9-22 15:30","Toki o kakeru shôjo",Animation,"Mamoru Hosoda",2006,98,0,8.0
"2027-9-22 13:00","It Happened One Night",Comedy,"Frank Capra",1934,105,12,6.5
"2027-9-22 10:30","The Shop Around the Corner",Comedy,"Ernst Lubitsch",1940,99,12,6.5
"2027-9-21 10:00","The Lives of Others",Drama,"Florian Henckel von Donnersmarck",2006,137,12,6.5
"2027-9-20 15:00","Bronenosets Potemkin",Drama,"Sergei M. Eisenstein",1925,75,12,8.5
"2027-9-20 12:30","Sunrise: A Song of Two Humans",Drama,"F.W. Murnau",1927,94,12,8.5
"2027-9-20 10:00","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,7.5
"2027-9-19 17:00","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,8.5
"2027-9-19 14:30","Trois couleurs: Blanc",Comedy,"Krzysztof Kieslowski",1994,92,0,8.0
"2027-9-19 10:30","Bound by Honor",Crime,"Taylor Hackford",1993,180,16,8.5
"2027-9-18 18:30","The Shawshank Redemption",Drama,"Frank Darabont",1994,142,12,10.0
"2027-9-18 14:30","Kal Ho Naa Ho",Comedy,"Nikkhil Advani",2003,186,0,8.5
"2027-9-18 12:30","Persona",Drama,"Ingmar Bergman",1966,85,12,7.5
"2027-9-18 10:30","Persona",Drama,"Ingmar Bergman",1966,85,12,8.5
"2027-9-17 15:00","Persona",Drama,"Ingmar Bergman",1966,85,12,6.5
"2027-9-17 12:30","The King of Comedy",Comedy,"Martin Scorsese",1982,109,0,7.5
"2027-9-17 10:30","Bronenosets Potemkin",Drama,"Sergei M. Eisenstein",1925,75,12,8.5
"2027-9-16 10:00","The King of Comedy",Comedy,"Martin Scorsese",1982,109,0,7.0
"2027-9-15 16:30","The Shawshank Redemption",Drama,"Frank Darabont",1994,142,12,8.0
"2027-9-15 13:30","Falling Down",Action,"Joel Schumacher",1993,113,16,7.5
"2027-9-15 10:00","Amadeus",Biography,"Milos Forman",1984,160,16,8.0
"2027-9-14 17:00","Harry Potter and the Sorcerer's Stone",Adventure,"Chris Columbus",2001,152,0,7.0
"2027-9-14 14:00","Falling Down",Action,"Joel Schumacher",1993,113,16,8.5
"2027-9-14 10:00","Kal Ho Naa Ho",Comedy,"Nikkhil Advani",2003,186,0,8.5
"2027-9-13 10:00","Jeux d'enfants",Comedy,"Yann Samuell",2003,93,16,8.0
"2027-9-12 16:00","Memento",Mystery,"Christopher Nolan",2000,113,12,7.5
"2027-9-12 13:30","The Others",Horror,"Alejandro Amenábar",2001,101,12,7.5
"2027-9-12 10:30","The Shawshank Redemption",Drama,"Frank Darabont",1994,142,12,8.5
"2027-9-11 16:30","The Pianist",Biography,"Roman Polanski",2002,150,16,7.5
"2027-9-11 12:30","Barry Lyndon",Adventure,"Stanley Kubrick",1975,185,6,8.0
"2027-9-11 10:00","Toki o kakeru shôjo",Animation,"Mamoru Hosoda",2006,98,0,8.5
"2027-9-10 13:00","Falling Down",Action,"Joel Schumacher",1993,113,16,8.5
"2027-9-10 10:00","All That Jazz",Drama,"Bob Fosse",1979,123,12,6.5
"2027-9-9 17:30","Jûbê ninpûchô",Animation,"Yoshiaki Kawajiri",1993,94,12,7.5
"2027-9-9 13:30","Sholay",Action,"Ramesh Sippy",1975,204,0,8.5
"2027-9-9 10:30","The Treasure of the Sierra Madre",Adventure,"John Huston",1948,126,12,8.0
"2027-9-8 17:00","Sleepers",Crime,"Barry Levinson",1996,147,12,8.0
"2027-9-8 13:00","Swades: We, the People",Drama,"Ashutosh Gowariker",2004,210,0,7.0
"2027-9-8 10:30","Toki o kakeru shôjo",Animation,"Mamoru Hosoda",2006,98,0,7.0
"2027-9-7 15:30","Toki o kakeru shôjo",Animation,"Mamoru Hosoda",2006,98,0,6.5
"2027-9-7 12:30","Star Wars: Episode VI - Return of the Jedi",Action,"Richard Marquand",1983,131,0,8.0
"2027-9-7 10:00","Toki o kakeru shôjo",Animation,"Mamoru Hosoda",2006,98,0,8.5
"2027-9-6 13:00","All That Jazz",Drama,"Bob Fosse",1979,123,12,6.5
"2027-9-6 10:00","The Shawshank Redemption",Drama,"Frank Darabont",1994,142,12,8.5
"2027-9-5 21:30","Philadelphia",Drama,"Jonathan Demme",1993,125,12,10.0
"2027-9-5 18:00","The Killing Fields",Biography,"Roland Joffé",1984,141,12,9.5
"2027-9-5 14:30","My Fair Lady",Drama,"George Cukor",1964,170,0,8.0
"2027-9-5 10:30","Saving Private Ryan",Drama,"Steven Spielberg",1998,169,16,6.5
"2027-9-4 17:00","The Killing Fields",Biography,"Roland Joffé",1984,141,12,8.5
"2027-9-4 13:30","Fitzcarraldo",Adventure,"Werner Herzog",1982,158,16,8.5
"2027-9-4 10:30","All That Jazz",Drama,"Bob Fosse",1979,123,12,8.0
"2027-9-3 16:30","Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Animation,"Hideaki Anno",1997,87,12,6.5
"2027-9-3 13:30","All That Jazz",Drama,"Bob Fosse",1979,123,12,6.5
"2027-9-3 10:30","The Illusionist",Drama,"Neil Burger",2006,110,0,7.0
"2027-9-2 10:30","Sholay",Action,"Ramesh Sippy",1975,204,0,8.5
"2027-9-1 10:30","The Game",Action,"David Fincher",1997,129,12,7.5
"2027-8-31 13:00","Kurenai no buta",Animation,"Hayao Miyazaki",1992,94,0,7.0
"2027-8-31 10:30","Jeux d'enfants",Comedy,"Yann Samuell",2003,93,16,7.0
"2027-8-30 10:30","The Killing Fields",Biography,"Roland Joffé",1984,141,12,7.0
"2027-8-29 20:30","Kal Ho Naa Ho",Comedy,"Nikkhil Advani",2003,186,0,10.0
"2027-8-29 17:00","Fitzcarraldo",Adventure,"Werner Herzog",1982,158,16,8.5
"2027-8-29 14:30","Le notti di Cabiria",Drama,"Federico Fellini",1957,110,12,8.0
"2027-8-29 10:00","Sholay",Action,"Ramesh Sippy",1975,204,0,8.0
"2027-8-28 16:00","My Fair Lady",Drama,"George Cukor",1964,170,0,8.5
"2027-8-28 13:30","The Illusionist",Drama,"Neil Burger",2006,110,0,8.5
"2027-8-28 10:30","Le notti di Cabiria",Drama,"Federico Fellini",1957,110,12,7.5
"2027-8-27 10:30","The Treasure of the Sierra Madre",Adventure,"John Huston",1948,126,12,7.0
"2027-8-26 17:00","Sen to Chihiro no kamikakushi",Animation,"Hayao Miyazaki",2001,125,0,7.0
"2027-8-26 14:00","Close Encounters of the Third Kind",Drama,"Steven Spielberg",1977,138,0,6.5
"2027-8-26 10:30","Saving Private Ryan",Drama,"Steven Spielberg",1998,169,16,7.5
"2027-8-25 15:30","Le notti di Cabiria",Drama,"Federico Fellini",1957,110,12,6.5
"2027-8-25 13:00","Jeux d'enfants",Comedy,"Yann Samuell",2003,93,16,7.5
"2027-8-25 10:30","The Sixth Sense",Drama,"M. Night Shyamalan",1999,107,12,8.0
"2027-8-24 13:00","The Treasure of the Sierra Madre",Adventure,"John Huston",1948,126,12,6.5
"2027-8-24 10:30","Zelig",Comedy,"Woody Allen",1983,79,6,7.5
"2027-8-23 13:00","Gone with the Wind",Drama,"Victor Fleming",1939,238,0,6.5
"2027-8-23 10:00","Lat sau san taam",Action,"John Woo",1992,128,16,6.5
"2027-8-22 16:30","Sholay",Action,"Ramesh Sippy",1975,204,0,8.0
