titolo,genere,regista,anno,durata,etaMinima
The Prestige,Mistery,Christopher Nolan,2006,130,13
Prisoners,Mistery,Denis Villeneuve,2013,153,16
Zodiac,Mistery,David Fincher,2007,157,16
Knives Out,Mistery,Rian Johnson,2019,130,10
The Sixth Sense,Mistery,M Night Shyamalan,1999,107,13
Sherlock Holmes,Mistery,Guy Ritchie,2009,128,10
Django Unchained,Western,Quentin Tarantino,2012,165,18
The Good the Bad and the Ugly,Western,Sergio Leone,1966,178,13
Once Upon a Time in the West,Western,Sergio Leone,1968,165,13
True Grit,Western,Joel Coen,2010,110,13
Unforgiven,Western,Clint Eastwood,1992,130,16
The Magnificent Seven,Western,Antoine Fuqua,2016,132,13
3 10 to Yuma,Western,James Mangold,2007,122,16
The Hateful Eight,Western,Quentin Tarantino,2015,168,18
High Noon,Western,Fred Zinnemann,1952,85,10
Rio Bravo,Western,Howard Hawks,1959,141,10
